Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,obchod
1,"Unpolarized capacitor, small symbol",C_Small,C7C8,27p,C_0805_2012Metric,2,~,TME
2,"Unpolarized capacitor, small symbol",C_Small,C1C4C5C6C9C10C11,100n,C_0805_2012Metric,7,~,TME
3,"Unpolarized capacitor, small symbol",C_Small,C12C13,1u,C_0805_2012Metric,2,~,TME
4,"Unpolarized capacitor, small symbol",C_Small,C2C3,10u,C_0805_2012Metric,2,~,TME
5,"Light emitting diode, small symbol",LED_Small,D2,Green,LED_1206_KPTR,1,~,OK
6,"Light emitting diode, small symbol",LED_Small,D1,Red,LED_1206_KPTR,1,~,OK
7,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J1J3,HEADER_1x03,Straight_2x03,2,,
8,"2x10 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x10_PARALLEL,J5J6,HEADER_1x10,Straight_2x10,2,,
9,"2x12 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x12_PARALLEL,J7,HEADER_1x10,Straight_2x12,1,,
10,"2x05 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x05_PARALLEL,J8,HEADER_2x05,Straight_2x05,1,,
11,USB 2.0-only Type-C Receptacle connector,USBC_USB4105-GF-A,J2,USBC_USB4105-GF-A,USBC GCT_USB4105-GF-A,1,https://www.usb.org/sites/default/files/documents/usb_type-c.zip,OK
12,"NPN transistor, base/collector/emitter",Q_NPN_BCE,Q1,BC817-25,SOT-23,1,~,TME
13,"Resistor, small symbol",R_Small,R6R7,27R4,R_0805_2012Metric,2,~,TME
14,"Resistor, small symbol",R_Small,R9R10,200R,R_0805_2012Metric,2,~,TME
15,"Resistor, small symbol",R_Small,R11,390R,R_0805_2012Metric,1,~,
16,"Resistor, small symbol",R_Small,R3R5R8,1k,R_0805_2012Metric,3,~,TME
17,"Resistor, small symbol",R_Small,R1R2,5k1,R_0805_2012Metric,2,~,TME
18,"Push button switch, generic, two pins",SW_Push,SW1SW2,434133025816,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,2,~,TME
19,"1A Low drop-out regulator, Fixed Output 3.3V, SOT-223",NCP1117-3.3_SOT223,U1,NCP1117-3.3,SOT-223-3_TabPin2,1,http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF,TME
20,A microcontroller by Raspberry Pi,RP2040,U4,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf,Farnell
21,"Very low capacitance ESD protection diode, 2 data-line, SOT-23-6",USBLC6-2SC6,U2,USBLC6-2SC6,SOT-23-6,1,https://www.st.com/resource/en/datasheet/usblc6-2.pdf,TME
22,"128Mb Serial Flash Memory, Standard/Dual/Quad SPI, SOIC-8",W25Q128JVS,U3,W25Q64JVSSIQ,SOIC-8_5.23x5.23mm_P1.27mm,1,http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf,Mouser
23,"Four pin crystal, GND on pins 2 and 4",Crystal_GND24,Y1,LFXTAL082069,Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm,1,~,Farnell
